カテゴリ,用語,解説
テクノロジ,正規化,RDBのテーブル設計において、データの冗長性を排除し整合性を保つためにテーブルを分割する手法。第1〜第3正規形が基本。
テクノロジ,インデックス,データベースの検索速度を向上させるためにカラムに作成する索引構造。検索は高速になるが更新コストが増加する。
テクノロジ,ER図,Entity-Relationship図。データベース設計においてエンティティ（実体）とその関係を視覚化した図。
テクノロジ,ACID特性,トランザクションが保証すべき4つの性質。原子性（Atomicity）・一貫性（Consistency）・独立性（Isolation）・永続性（Durability）の頭文字。
テクノロジ,デッドロック,複数のトランザクションが互いに相手のロック解放を待ち続け、処理が進まなくなる状態。
テクノロジ,ビッグデータ,従来のデータ管理ツールでは処理困難な大量・高速・多様なデータ。Volume・Velocity・Varietyの3Vで特徴づけられる。
テクノロジ,機械学習,データからパターンを学習し、予測・分類・クラスタリングなどを行うAI技術。教師あり・教師なし・強化学習に分類される。
テクノロジ,ディープラーニング,多層のニューラルネットワークを用いた機械学習手法。画像認識・音声認識・自然言語処理で高い精度を発揮する。
テクノロジ,クラウドコンピューティング,インターネット経由でコンピューティングリソースをオンデマンドで利用するモデル。IaaS・PaaS・SaaSの3形態がある。
テクノロジ,エッジコンピューティング,データ発生源（エッジ）の近くで処理を行うことで、レイテンシ低減とネットワーク負荷軽減を図るアーキテクチャ。
テクノロジ,ブロックチェーン,取引データをブロックに格納し、チェーン状に連結して分散管理する技術。改ざんが極めて困難で、仮想通貨や契約管理に活用される。
テクノロジ,AR,Augmented Reality（拡張現実）。現実の映像にデジタル情報を重ね合わせて表示する技術。
テクノロジ,VR,Virtual Reality（仮想現実）。コンピューターが生成した仮想空間に没入できる技術。ヘッドマウントディスプレイなどで体験する。
テクノロジ,5G,第5世代移動通信システム。超高速・超低遅延・多数同時接続を特徴とし、IoTや自動運転の基盤となる。
テクノロジ,量子コンピューター,量子力学の重ね合わせや量子もつれを利用して、特定の問題を従来のコンピューターより高速に解くコンピューター。
ストラテジ,TOB,Take Over Bid（株式公開買い付け）。不特定多数の株主から市場外で株式を買い集め、経営権を取得しようとする手法。
ストラテジ,垂直統合,原材料調達から製造・販売までのサプライチェーンを自社で内製化し、コスト削減や品質管理を強化する戦略。
ストラテジ,水平統合,同業他社を買収・合併して市場シェアを拡大し、規模の経済を追求する戦略。
ストラテジ,アライアンス,複数の企業が資本関係を持たずに技術・販売・生産などの分野で協力関係を結ぶこと。
ストラテジ,OEM,Original Equipment Manufacturer。他社ブランドで販売される製品を製造すること。または製造を委託された企業を指す。
ストラテジ,ファブレス,自社で製造設備を持たず、設計・開発に特化して製造を外部に委託するビジネスモデル。
ストラテジ,ROI,Return on Investment。投資対効果。投資額に対してどれだけの利益を得られたかを示す指標。
ストラテジ,ROE,Return on Equity。自己資本利益率。株主が投資した資本に対してどれだけ利益を上げたかを示す指標。
ストラテジ,TCO,Total Cost of Ownership。システムや設備の導入から廃棄までの総所有コスト。初期費用だけでなく運用・保守コストも含む。
ストラテジ,NPV,Net Present Value（正味現在価値）。将来のキャッシュフローを現在価値に割り引いた合計から初期投資を差し引いた値。投資判断に使う。
ストラテジ,ペルソナ,マーケティングや製品設計において想定する典型的なユーザー像。年齢・職業・行動パターンなどを具体的に設定する。
ストラテジ,カスタマージャーニー,顧客が製品・サービスを認知してから購入・利用・推奨に至るまでの一連の体験プロセスを可視化したもの。
ストラテジ,NPS,Net Promoter Score。「この製品・サービスを友人に勧めますか？」という質問への回答から顧客ロイヤルティを数値化する指標。
ストラテジ,LTV,Life Time Value（顧客生涯価値）。一人の顧客が取引期間全体を通じてもたらす利益の総額。
ストラテジ,CAC,Customer Acquisition Cost（顧客獲得コスト）。新規顧客1人を獲得するためにかかるマーケティング・営業コストの合計。
ストラテジ,チャーンレート,一定期間内に解約・離脱した顧客の割合。サブスクリプションビジネスの健全性を測る重要指標。
ストラテジ,プロダクトライフサイクル,製品が市場に投入されてから衰退するまでの導入期・成長期・成熟期・衰退期の4段階。
ストラテジ,ランチェスター戦略,弱者は一点集中・差別化、強者は広域展開・模倣で優位を保つという競争戦略理論。
ストラテジ,アンゾフの成長マトリクス,既存・新規の製品と市場の組み合わせで市場浸透・市場開発・製品開発・多角化の4つの成長戦略を示すフレームワーク。
ストラテジ,ファイブフォース分析,業界の競争要因を「既存競合」「新規参入」「代替品」「買い手」「売り手」の5つの力で分析するフレームワーク。
ストラテジ,3C分析,Customer（顧客）・Competitor（競合）・Company（自社）の3軸で事業環境を分析するフレームワーク。
ストラテジ,4P,Product・Price・Place・Promotionの4要素からなるマーケティングミックスのフレームワーク。
ストラテジ,グリーンIT,ITシ器機の省エネ化やIT活用による業務効率化を通じて、環境負荷を低減する取り組み。
ストラテジ,SDGs,Sustainable Development Goals。2030年までに達成すべき17の持続可能な開発目標。企業活動との関連が重視される。
ストラテジ,ESG投資,環境（Environment）・社会（Social）・ガバナンス（Governance）を考慮した投資判断基準。
ストラテジ,ワークライフバランス,仕事と私生活の調和を図り、どちらも充実させることを目指す考え方。働き方改革の重要テーマ。
ストラテジ,テレワーク,ICTを活用して自宅やサテライトオフィスなど会社以外の場所で働く勤務形態。
ストラテジ,RPA,Robotic Process Automation。ソフトウェアロボットが定型的なPC操作を自動化する技術。バックオフィス業務の効率化に活用される。
ストラテジ,ナレッジマネジメント,組織内の個人が持つ知識・経験・ノウハウを共有・活用できる仕組みを構築し、組織全体の知的生産性を高める経営手法。
ストラテジ,コーポレートガバナンス,株主・取締役会・経営陣の関係を適切に規律し、企業が透明性・公正性をもって経営されるための仕組み。
マネジメント,PDCA,Plan・Do・Check・Actの4段階を繰り返して業務を継続的に改善するサイクル。品質管理や業務改善に広く使われる。
マネジメント,OJT,On the Job Training。実際の業務を通じて知識・スキルを習得させる職場内訓練。
マネジメント,OFF-JT,Off the Job Training。通常業務から離れて研修・セミナー・講義などで知識・スキルを習得する教育訓練。
マネジメント,SLA違反,合意したサービス水準を下回った状態。ペナルティや改善計画の発動トリガーとなる。
マネジメント,エスカレーション,担当者レベルで解決できない問題を上位の管理者や専門チームに引き上げて対応を求めること。
マネジメント,ヘルプデスク,ユーザーからのIT関連の問い合わせや障害報告を受け付け、解決を支援する窓口。サービスデスクとも呼ばれる。
マネジメント,FAQ,Frequently Asked Questions。よくある質問とその回答をまとめたドキュメント。問い合わせ件数の削減に効果的。
マネジメント,ナレッジベース,過去の障害対応事例・解決策・手順書などを蓄積・検索できるデータベース。ヘルプデスクの効率化に活用される。
マネジメント,SLO,Service Level Objective。SLAの中で設定される具体的なサービス目標値。稼働率99.9%などの数値目標。
マネジメント,キャパシティ管理,現在および将来のビジネス需要を満たすために必要なITリソースの容量を計画・管理するプロセス。
マネジメント,リリース管理,テスト済みの変更をまとめて本番環境へ展開する計画・実施・検証を管理するプロセス。
マネジメント,問題管理,インシデントの根本原因を特定・排除し、再発を防止するための管理プロセス。インシデント管理と区別される。
マネジメント,CMDB,Configuration Management Database。ITシステムの構成情報（CI）を一元管理するデータベース。
マネジメント,DR,Disaster Recovery。災害や大規模障害発生時にITシステムを復旧させるための計画・手順・設備の総称。
マネジメント,フォールトトレランス,障害が発生しても処理を継続できるようにシステムを設計する考え方。冗長化や自動フェイルオーバーで実現する。
マネジメント,フェイルオーバー,稼働中のシステムに障害が発生した際、自動的に待機系システムへ切り替えてサービスを継続する仕組み。
マネジメント,ロールバック,システムの変更や更新が失敗した際に、以前の正常な状態に戻す操作。
マネジメント,パッチ管理,OSやソフトウェアのセキュリティパッチ・修正プログラムを計画的に適用・管理するプロセス。
マネジメント,資産管理,組織が保有するハードウェア・ソフトウェア・ライセンスなどのIT資産を台帳で管理し、適切な利用・廃棄を行うプロセス。
マネジメント,ステークホルダー,プロジェクトやシステムに利害関係を持つすべての関係者。発注者・利用者・開発者・経営者などが含まれる。
マネジメント,QCD,Quality（品質）・Cost（コスト）・Delivery（納期）の3要素。プロジェクト管理における基本的なトレードオフの関係を示す。
マネジメント,EVM,Earned Value Management。プロジェクトのスコープ・スケジュール・コストを統合的に管理し、進捗と予算消化状況を定量的に把握する手法。
マネジメント,コンティンジェンシー計画,リスクが顕在化した際に実行する事前に準備された対応計画。リスク対応策の一つ。
マネジメント,品質管理,製品・サービスが定められた品質基準を満たすよう、計画・実施・検査・改善を行う活動。QCとも呼ばれる。
マネジメント,品質保証,製品・サービスが顧客の要求を満たすことを体系的に保証するための活動。QAとも呼ばれる。
マネジメント,テスト計画,テストの目的・範囲・方法・スケジュール・担当者などを定めた文書。テスト工程の基準となる。
マネジメント,デシジョンテーブル,条件の組み合わせと対応するアクションを表形式で整理したもの。テスト設計や業務ルール定義に使われる。
マネジメント,レビュー,成果物（設計書・コードなど）を関係者が確認し、欠陥や改善点を早期に発見する品質活動。
マネジメント,ウォークスルー,作成者が参加者に成果物の内容を説明しながら進めるレビュー形式。インスペクションより非公式。
マネジメント,インスペクション,訓練されたモデレーターが進行する最も厳格なレビュー形式。役割分担と記録が明確に定められている。
テクノロジ,補数,2進数の減算を加算で行うための表現方法。コンピューターは負の数を2の補数で表現する。
テクノロジ,浮動小数点数,小数点の位置を動かして広い範囲の実数を表現する数値形式。IEEE 754が標準規格。
テクノロジ,文字コード,文字と数値を対応付けた規則。ASCII・Shift-JIS・UTF-8などがあり、文字化けの原因になることがある。
テクノロジ,UTF-8,Unicodeの文字をバイト列で表現するエンコード方式。ASCII互換で世界中の文字を扱えるため、Webの標準文字コードとして普及している。
テクノロジ,パリティビット,データ転送時の誤り検出に使う1ビット。データのビット列に付加して奇数・偶数パリティで誤りを検出する。
テクノロジ,チェックサム,データの誤り検出のために、データの各バイトを合計した値。転送前後で比較して改ざん・破損を検出する。
テクノロジ,GPU,Graphics Processing Unit。並列演算に特化したプロセッサ。画像処理だけでなく機械学習・科学計算にも活用される。
テクノロジ,SSD,Solid State Drive。フラッシュメモリを使った補助記憶装置。HDDより高速・軽量・耐衝撃性が高い。
テクノロジ,HDD,Hard Disk Drive。磁気ディスクにデータを記録する補助記憶装置。大容量・低コストだがSSDより低速。
テクノロジ,NIC,Network Interface Card。コンピューターをネットワークに接続するための拡張カード。MACアドレスが割り当てられる。
テクノロジ,UPS,Uninterruptible Power Supply（無停電電源装置）。停電時にバッテリーで電力を供給し、システムの安全なシャットダウンを可能にする装置。
テクノロジ,入出力装置,コンピューターにデータを入力したり結果を出力したりする周辺機器。キーボード・マウス・ディスプレイ・プリンターなど。
テクノロジ,バス,CPU・メモリ・入出力装置などコンピューター内部の各コンポーネント間でデータをやり取りする共有伝送路。
テクノロジ,マルチコア,1つのCPUパッケージに複数の処理コアを搭載した構造。並列処理性能を向上させる。
テクノロジ,スループット,単位時間あたりに処理できるデータ量や処理件数。システムの処理能力を表す指標。
テクノロジ,ボトルネック,システム全体の性能を制約している最も遅い部分。ここを改善することで全体性能が向上する。
テクノロジ,負荷分散,複数のサーバーにリクエストを振り分けて処理能力を向上させ、単一サーバーへの集中を防ぐ仕組み。ロードバランサーが担う。
テクノロジ,ロードバランサー,クライアントからのリクエストを複数のサーバーに分散させる装置またはソフトウェア。
テクノロジ,プロキシサーバー,クライアントとサーバーの間に立ち、リクエストを中継するサーバー。キャッシュ・フィルタリング・匿名化などの機能を持つ。
テクノロジ,リバースプロキシ,クライアントからのリクエストを受け取り、バックエンドの複数サーバーに振り分けるプロキシ。負荷分散やSSL終端に使われる。
テクノロジ,ICMP,Internet Control Message Protocol。ネットワーク診断に使うプロトコル。pingコマンドはICMPを利用する。
テクノロジ,ARP,Address Resolution Protocol。IPアドレスからMACアドレスを解決するプロトコル。同一ネットワーク内の通信で使われる。
テクノロジ,SMTP,Simple Mail Transfer Protocol。電子メールを送信・転送するためのプロトコル。ポート25番が標準。
テクノロジ,POP3,Post Office Protocol 3。メールサーバーからメールをダウンロードして受信するプロトコル。受信後はサーバーからメールが削除される。
テクノロジ,IMAP,Internet Message Access Protocol。メールサーバー上でメールを管理・閲覧するプロトコル。複数デバイスからの同期に適している。
テクノロジ,FTP,File Transfer Protocol。ネットワーク上でファイルを転送するプロトコル。暗号化されないためSFTPやFTPSが推奨される。
テクノロジ,SSH,Secure Shell。暗号化された通信路でリモートサーバーを安全に操作するプロトコル。ポート22番が標準。
テクノロジ,HTTPS,HTTPにTLSによる暗号化を加えたプロトコル。通信内容の盗聴・改ざん・なりすましを防ぐ。ポート443番が標準。
テクノロジ,証明書,認証局（CA）が発行するデジタル文書。公開鍵と所有者情報を結びつけ、通信相手の正当性を保証する。
テクノロジ,ルーティング,ネットワーク上でパケットの転送経路を決定する処理。ルーターがルーティングテーブルを参照して行う。
テクノロジ,VLAN,Virtual LAN。物理的な接続に関係なく、論理的にネットワークを分割する技術。セキュリティ向上とトラフィック分離に使われる。
テクノロジ,QoS,Quality of Service。ネットワーク上で特定のトラフィックに優先度を付けて帯域を制御し、通信品質を保証する仕組み。
テクノロジ,ゼロデイ攻撃,ソフトウェアの脆弱性が公表・修正される前に行われる攻撃。パッチが存在しないため防御が困難。
テクノロジ,標的型攻撃,特定の組織や個人を狙って行う高度なサイバー攻撃。スピアフィッシングや内部侵入を組み合わせる。
テクノロジ,ソーシャルエンジニアリング,技術的手段ではなく、人間の心理や行動を利用してパスワードや機密情報を騙し取る攻撃手法。
テクノロジ,ブルートフォース攻撃,パスワードや暗号鍵をすべての組み合わせで試して解読しようとする攻撃手法。
テクノロジ,辞書攻撃,よく使われる単語やパスワードのリストを使って認証を突破しようとする攻撃手法。
テクノロジ,クロスサイトリクエストフォージェリ（CSRF）,ログイン済みユーザーを騙して意図しないリクエストを送信させる攻撃手法。
テクノロジ,セキュリティパッチ,ソフトウェアの脆弱性を修正するために提供される更新プログラム。迅速な適用が重要。
テクノロジ,ペネトレーションテスト,実際の攻撃手法を用いてシステムの脆弱性を検証するセキュリティテスト。侵入テストとも呼ばれる。
テクノロジ,IDS,Intrusion Detection System（侵入検知システム）。ネットワークやホストへの不正アクセスを検知して管理者に通知するシステム。
テクノロジ,IPS,Intrusion Prevention System（侵入防止システム）。不正アクセスを検知するだけでなく、自動的に遮断・防御するシステム。
テクノロジ,SIEM,Security Information and Event Management。複数のシステムからログを収集・相関分析し、セキュリティインシデントを検知・管理するシステム。
テクノロジ,エンドポイントセキュリティ,PCやスマートフォンなどの端末（エンドポイント）をマルウェアや不正アクセスから保護するセキュリティ対策。
テクノロジ,サンドボックス,不審なプログラムを隔離された環境で実行し、安全性を検証する仕組み。マルウェア解析に使われる。
テクノロジ,ホワイトリスト,許可するIPアドレス・アプリ・ユーザーを明示的に列挙したリスト。リスト外はすべて拒否する。
テクノロジ,ブラックリスト,拒否するIPアドレス・ドメイン・アプリを列挙したリスト。リスト外はすべて許可する。
テクノロジ,データマスキング,本番データの個人情報や機密情報を加工・置換して、テスト環境などで安全に利用できるようにする技術。
テクノロジ,ステガノグラフィ,画像・音声などのファイルにデータを人目につかない形で埋め込む技術。情報隠蔽に使われる。
テクノロジ,構造化プログラミング,順次・分岐・反復の3つの制御構造だけでプログラムを記述する手法。可読性と保守性を高める。
テクノロジ,関数型プログラミング,関数を第一級オブジェクトとして扱い、副作用を排除した宣言的なプログラミングスタイル。
テクノロジ,デザインパターン,ソフトウェア設計における再利用可能な解決策のカタログ。GoFの23パターンが有名。
テクノロジ,リファクタリング,外部から見た動作を変えずにコードの内部構造を改善すること。可読性・保守性の向上が目的。
テクノロジ,テスト駆動開発（TDD）,テストコードを先に書いてから実装するプログラミング手法。設計品質と回帰テストの充実を促す。
テクノロジ,コードレビュー,他の開発者がソースコードを確認し、バグ・設計上の問題・コーディング規約違反などを指摘する品質活動。
テクノロジ,静的解析,プログラムを実行せずにソースコードを解析してバグや脆弱性を検出する手法。
テクノロジ,動的解析,プログラムを実際に実行しながら動作を観察してバグや脆弱性を検出する手法。
テクノロジ,ホワイトボックステスト,内部構造（コード）を把握した上でテストケースを設計する手法。命令網羅・分岐網羅などの基準がある。
テクノロジ,ブラックボックステスト,内部構造を考慮せず、入出力の仕様に基づいてテストケースを設計する手法。同値分割・境界値分析が代表的技法。
テクノロジ,同値分割,入力値を同じ処理結果になるグループ（同値クラス）に分け、各クラスから代表値を選んでテストする技法。
テクノロジ,境界値分析,同値クラスの境界付近の値（境界値・境界値±1）を重点的にテストする技法。バグが発生しやすい境界を狙う。
テクノロジ,回帰テスト,変更・修正後に既存機能が壊れていないことを確認するテスト。リグレッションテストとも呼ばれる。
テクノロジ,スタブ,テスト対象モジュールが呼び出す未完成の下位モジュールの代わりに使う仮のモジュール。
テクノロジ,ドライバ,テスト対象モジュールを呼び出す上位モジュールの代わりに使う仮のモジュール。
テクノロジ,モック,テスト時に外部依存（DB・APIなど）を模倣する仮のオブジェクト。テストの独立性と再現性を高める。
テクノロジ,継続的インテグレーション（CI）,開発者がコードを頻繁にリポジトリへ統合し、自動ビルド・テストで問題を早期発見する開発プラクティス。
テクノロジ,継続的デリバリー（CD）,CIに加えてリリース可能な状態を常に維持し、本番デプロイを自動化・迅速化する開発プラクティス。
テクノロジ,コンテナオーケストレーション,多数のコンテナのデプロイ・スケーリング・管理を自動化する仕組み。Kubernetesが代表的。
テクノロジ,Kubernetes,コンテナ化されたアプリケーションのデプロイ・スケーリング・管理を自動化するオープンソースのオーケストレーションシステム。
テクノロジ,イミュータブルインフラ,一度デプロイしたサーバーは変更せず、更新時は新しいイメージで置き換えるインフラ管理の考え方。
テクノロジ,Infrastructure as Code,インフラの構成をコードで定義・管理する手法。TerraformやAWS CloudFormationが代表的ツール。
テクノロジ,モノリシックアーキテクチャ,アプリケーションのすべての機能を1つのデプロイ単位にまとめた構成。開発は単純だがスケールや変更が困難になりやすい。
テクノロジ,APIゲートウェイ,クライアントからのAPIリクエストを受け付け、認証・ルーティング・レート制限などを一元管理するコンポーネント。
テクノロジ,メッセージキュー,送信者と受信者を非同期に結ぶメッセージの一時保管場所。システム間の疎結合化と負荷平準化に使われる。
テクノロジ,イベント駆動アーキテクチャ,イベントの発生を契機に処理を起動する設計スタイル。疎結合でスケーラブルなシステムを実現する。
テクノロジ,キャッシュ,頻繁にアクセスするデータを高速な記憶領域に一時保存し、応答速度を向上させる仕組み。
テクノロジ,シャーディング,データベースのデータを複数のサーバーに水平分割して格納する手法。大規模データの処理性能とスケーラビリティを向上させる。
テクノロジ,レプリケーション,データベースのデータを複数のサーバーにリアルタイムで複製する仕組み。可用性向上と読み取り負荷分散に使われる。
テクノロジ,ORMマッパー,オブジェクト指向言語のオブジェクトとRDBのテーブルを自動的に対応付けるライブラリ。SQLを直接書かずにDB操作できる。
テクノロジ,マイグレーション,データベースのスキーマ変更をバージョン管理しながら適用する仕組み。コードと同様に変更履歴を管理できる。
テクノロジ,ストアドプロシージャ,DBサーバー側に保存・実行されるSQL手続き。処理をDB側に集約してネットワーク往復を減らせる。
テクノロジ,ビュー,1つ以上のテーブルから特定のデータを抽出した仮想テーブル。複雑なクエリの簡略化やアクセス制御に使われる。
テクノロジ,外部キー,別テーブルの主キーを参照するカラム。テーブル間の参照整合性を保証する制約。
テクノロジ,結合（JOIN）,複数のテーブルを関連するカラムで結びつけてデータを取得するSQL操作。INNER JOIN・LEFT JOINなどがある。
テクノロジ,集計関数,SQLでデータをグループ化して集計するための関数。COUNT・SUM・AVG・MAX・MINが代表的。
テクノロジ,Webスクレイピング,プログラムでWebページのHTMLを取得・解析してデータを自動収集する技術。利用規約の確認が必要。
テクノロジ,OAuth,サードパーティアプリにパスワードを渡さずにリソースへのアクセス権限を委譲する認可フレームワーク。
テクノロジ,JWT,JSON Web Token。ユーザー情報や権限をJSON形式でエンコードし、署名を付けて安全に伝達するトークン形式。
テクノロジ,シングルサインオン（SSO）,一度の認証で複数のシステムやサービスを利用できる仕組み。利便性向上とパスワード管理の簡素化が目的。
テクノロジ,LDAP,Lightweight Directory Access Protocol。ユーザー情報や組織情報を管理するディレクトリサービスにアクセスするプロトコル。
テクノロジ,Active Directory,Microsoftが提供するディレクトリサービス。ユーザー・コンピューター・グループポリシーを一元管理する。
テクノロジ,SAML,Security Assertion Markup Language。異なるドメイン間でシングルサインオンを実現するためのXMLベースの認証・認可フレームワーク。
テクノロジ,OpenID Connect,OAuthをベースにした認証レイヤー。IDトークンを使ってユーザーの身元確認を行う標準プロトコル。
テクノロジ,正規表現,文字列のパターンを記号で表現する記法。検索・置換・バリデーションに広く使われる。
テクノロジ,再帰,関数が自分自身を呼び出す処理手法。ツリー構造の探索や分割統治アルゴリズムに使われる。
テクノロジ,スタック,後入れ先出し（LIFO）のデータ構造。関数呼び出しの管理や式の評価に使われる。
テクノロジ,キュー,先入れ先出し（FIFO）のデータ構造。タスクのスケジューリングやメッセージ処理に使われる。
テクノロジ,ハッシュテーブル,キーをハッシュ関数で変換してインデックスを求め、高速な検索・挿入・削除を実現するデータ構造。
テクノロジ,二分探索,ソート済みのデータを半分ずつ絞り込んで目的の値を探すアルゴリズム。O(log n)の計算量で効率的。
テクノロジ,ソートアルゴリズム,データを一定の順序に並べ替えるアルゴリズム。バブルソート・クイックソート・マージソートなどがある。
テクノロジ,計算量（オーダー記法）,アルゴリズムの処理時間や使用メモリがデータ量に対してどう増加するかを表す記法。O(1)・O(n)・O(n²)などで表す。
